Date,Calgary,Central,Edmonton,NorthEast,NorthWest,South,,,,,,
1/7/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/7/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/7/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/7/2019 8:00:00 PM,731,0,0,0,0,0,,,,,,
1/7/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/7/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/7/2019 11:00:00 PM,737,0,0,0,0,0,,,,,,
1/8/2019 12:00:00 AM,737,0,0,0,0,0,,,,,,
1/8/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/8/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/8/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/8/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/8/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/8/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/8/2019 7:00:00 AM,725,0,0,0,0,0,,,,,,
1/8/2019 8:00:00 AM,725,0,0,0,0,0,,,,,,
1/8/2019 9:00:00 AM,725,0,0,0,0,0,,,,,,
1/8/2019 10:00:00 AM,725,0,0,0,0,0,,,,,,
1/8/2019 11:00:00 AM,725,0,0,0,0,0,,,,,,
1/8/2019 12:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 1:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 2:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 3:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 4:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 5:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 6:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 7:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 8:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/8/2019 11:00:00 PM,737,0,0,0,0,0,,,,,,
1/9/2019 12:00:00 AM,732,0,0,0,0,0,,,,,,
1/9/2019 1:00:00 AM,736,0,0,0,0,0,,,,,,
1/9/2019 2:00:00 AM,736,0,0,0,0,0,,,,,,
1/9/2019 3:00:00 AM,736,0,0,0,0,0,,,,,,
1/9/2019 4:00:00 AM,736,0,0,0,0,0,,,,,,
1/9/2019 5:00:00 AM,736,0,0,0,0,0,,,,,,
1/9/2019 6:00:00 AM,736,0,0,0,0,0,,,,,,
1/9/2019 7:00:00 AM,713,0,0,0,0,0,,,,,,
1/9/2019 8:00:00 AM,713,0,0,0,0,0,,,,,,
1/9/2019 9:00:00 AM,713,0,0,0,0,0,,,,,,
1/9/2019 10:00:00 AM,713,0,0,0,0,0,,,,,,
1/9/2019 11:00:00 AM,717,0,0,0,0,0,,,,,,
1/9/2019 12:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 1:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 2:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 3:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 4:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 5:00:00 PM,717,0,0,0,0,0,,,,,,
1/9/2019 6:00:00 PM,717,0,0,0,0,0,,,,,,
1/9/2019 7:00:00 PM,717,0,0,0,0,0,,,,,,
1/9/2019 8:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 9:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 10:00:00 PM,713,0,0,0,0,0,,,,,,
1/9/2019 11:00:00 PM,572,0,0,0,0,0,,,,,,
1/10/2019 12:00:00 AM,573,0,0,0,0,0,,,,,,
1/10/2019 1:00:00 AM,577,0,0,0,0,0,,,,,,
1/10/2019 2:00:00 AM,577,0,0,0,0,0,,,,,,
1/10/2019 3:00:00 AM,557,0,0,0,0,0,,,,,,
1/10/2019 4:00:00 AM,557,0,0,0,0,0,,,,,,
1/10/2019 5:00:00 AM,557,0,0,0,0,0,,,,,,
1/10/2019 6:00:00 AM,557,0,0,0,0,0,,,,,,
1/10/2019 7:00:00 AM,545,0,0,0,0,0,,,,,,
1/10/2019 8:00:00 AM,545,0,0,0,0,0,,,,,,
1/10/2019 9:00:00 AM,535,0,0,0,0,0,,,,,,
1/10/2019 10:00:00 AM,715,0,0,0,0,0,,,,,,
1/10/2019 11:00:00 AM,719,0,0,0,0,0,,,,,,
1/10/2019 12:00:00 PM,715,0,0,0,0,0,,,,,,
1/10/2019 1:00:00 PM,725,0,0,0,0,0,,,,,,
1/10/2019 2:00:00 PM,725,0,0,0,0,0,,,,,,
1/10/2019 3:00:00 PM,725,0,0,0,0,0,,,,,,
1/10/2019 4:00:00 PM,725,0,0,0,0,0,,,,,,
1/10/2019 5:00:00 PM,729,0,0,0,0,0,,,,,,
1/10/2019 6:00:00 PM,729,0,0,0,0,0,,,,,,
1/10/2019 7:00:00 PM,729,0,0,0,0,0,,,,,,
1/10/2019 8:00:00 PM,725,0,0,0,0,0,,,,,,
1/10/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/10/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/10/2019 11:00:00 PM,733,0,0,0,0,0,,,,,,
1/11/2019 12:00:00 AM,733,0,0,0,0,0,,,,,,
1/11/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/11/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/11/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/11/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/11/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/11/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/11/2019 7:00:00 AM,712,0,0,0,0,0,,,,,,
1/11/2019 8:00:00 AM,712,0,0,0,0,0,,,,,,
1/11/2019 9:00:00 AM,712,0,0,0,0,0,,,,,,
1/11/2019 10:00:00 AM,712,0,0,0,0,0,,,,,,
1/11/2019 11:00:00 AM,718,0,0,0,0,0,,,,,,
1/11/2019 12:00:00 PM,714,0,0,0,0,0,,,,,,
1/11/2019 1:00:00 PM,714,0,0,0,0,0,,,,,,
1/11/2019 2:00:00 PM,714,0,0,0,0,0,,,,,,
1/11/2019 3:00:00 PM,714,0,0,0,0,0,,,,,,
1/11/2019 4:00:00 PM,714,0,0,0,0,0,,,,,,
1/11/2019 5:00:00 PM,718,0,0,0,0,0,,,,,,
1/11/2019 6:00:00 PM,718,0,0,0,0,0,,,,,,
1/11/2019 7:00:00 PM,718,0,0,0,0,0,,,,,,
1/11/2019 8:00:00 PM,712,0,0,0,0,0,,,,,,
1/11/2019 9:00:00 PM,712,0,0,0,0,0,,,,,,
1/11/2019 10:00:00 PM,712,0,0,0,0,0,,,,,,
1/11/2019 11:00:00 PM,733,0,0,0,0,0,,,,,,
1/12/2019 12:00:00 AM,733,0,0,0,0,0,,,,,,
1/12/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/12/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/12/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/12/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/12/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/12/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/12/2019 7:00:00 AM,725,0,0,0,0,0,,,,,,
1/12/2019 8:00:00 AM,725,0,0,0,0,0,,,,,,
1/12/2019 9:00:00 AM,725,0,0,0,0,0,,,,,,
1/12/2019 10:00:00 AM,725,0,0,0,0,0,,,,,,
1/12/2019 11:00:00 AM,731,0,0,0,0,0,,,,,,
1/12/2019 12:00:00 PM,727,0,0,0,0,0,,,,,,
1/12/2019 1:00:00 PM,727,0,0,0,0,0,,,,,,
1/12/2019 2:00:00 PM,727,0,0,0,0,0,,,,,,
1/12/2019 3:00:00 PM,727,0,0,0,0,0,,,,,,
1/12/2019 4:00:00 PM,727,0,0,0,0,0,,,,,,
1/12/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/12/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/12/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/12/2019 8:00:00 PM,725,0,0,0,0,0,,,,,,
1/12/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/12/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/12/2019 11:00:00 PM,733,0,0,0,0,0,,,,,,
1/13/2019 12:00:00 AM,733,0,0,0,0,0,,,,,,
1/13/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/13/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/13/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/13/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/13/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/13/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/13/2019 7:00:00 AM,725,0,0,0,0,0,,,,,,
1/13/2019 8:00:00 AM,725,0,0,0,0,0,,,,,,
1/13/2019 9:00:00 AM,725,0,0,0,0,0,,,,,,
1/13/2019 10:00:00 AM,725,0,0,0,0,0,,,,,,
1/13/2019 11:00:00 AM,731,0,0,0,0,0,,,,,,
1/13/2019 12:00:00 PM,727,0,0,0,0,0,,,,,,
1/13/2019 1:00:00 PM,727,0,0,0,0,0,,,,,,
1/13/2019 2:00:00 PM,727,0,0,0,0,0,,,,,,
1/13/2019 3:00:00 PM,727,0,0,0,0,0,,,,,,
1/13/2019 4:00:00 PM,727,0,0,0,0,0,,,,,,
1/13/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/13/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/13/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/13/2019 8:00:00 PM,725,0,0,0,0,0,,,,,,
1/13/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/13/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
1/13/2019 11:00:00 PM,733,0,0,0,0,0,,,,,,
1/14/2019 12:00:00 AM,737,0,0,0,0,0,,,,,,
1/14/2019 1:00:00 AM,737,0,0,0,0,0,,,,,,
1/14/2019 2:00:00 AM,737,0,0,0,0,0,,,,,,
1/14/2019 3:00:00 AM,737,0,0,0,0,0,,,,,,
1/14/2019 4:00:00 AM,737,0,0,0,0,0,,,,,,
1/14/2019 5:00:00 AM,737,0,0,0,0,0,,,,,,
1/14/2019 6:00:00 AM,737,0,0,0,0,0,,,,,,
1/14/2019 7:00:00 AM,725,0,0,0,0,0,,,,,,
1/14/2019 8:00:00 AM,725,0,0,0,0,0,,,,,,
1/14/2019 9:00:00 AM,725,0,0,0,0,0,,,,,,
1/14/2019 10:00:00 AM,725,0,0,0,0,0,,,,,,
1/14/2019 11:00:00 AM,731,0,0,0,0,0,,,,,,
1/14/2019 12:00:00 PM,727,0,0,0,0,0,,,,,,
1/14/2019 1:00:00 PM,727,0,0,0,0,0,,,,,,
1/14/2019 2:00:00 PM,727,0,0,0,0,0,,,,,,
1/14/2019 3:00:00 PM,727,0,0,0,0,0,,,,,,
1/14/2019 4:00:00 PM,727,0,0,0,0,0,,,,,,
1/14/2019 5:00:00 PM,731,0,0,0,0,0,,,,,,
1/14/2019 6:00:00 PM,731,0,0,0,0,0,,,,,,
1/14/2019 7:00:00 PM,731,0,0,0,0,0,,,,,,
1/14/2019 8:00:00 PM,725,0,0,0,0,0,,,,,,
1/14/2019 9:00:00 PM,725,0,0,0,0,0,,,,,,
1/14/2019 10:00:00 PM,725,0,0,0,0,0,,,,,,
