Date,Calgary,Central,Edmonton,Northeast,Northwest,South
5/10/2019 4:00:00 AM,921.6147439,1182.52765,1216.447004,903.2958956,833.5301579,807.3316103
5/10/2019 5:00:00 AM,1068.771463,1217.127449,1326.933065,916.2468694,854.1784079,832.227203
5/10/2019 10:00:00 PM,983.0856105,1214.298062,1351.499849,875.5044146,860.515243,848.5463322
5/10/2019 11:00:00 PM,905.8758942,1205.542279,1301.674258,862.6632645,844.5366303,835.5433891
5/11/2019 12:00:00 AM,858.0704675,1194.931453,1252.555639,859.8621829,835.5390824,818.7429659
5/11/2019 1:00:00 AM,830.8249942,1187.148309,1220.903914,856.83171,811.047504,817.5511701
5/11/2019 2:00:00 AM,823.6547747,1181.267453,1209.141183,870.6518557,814.0324285,815.4492624
5/11/2019 3:00:00 AM,826.0797818,1182.918393,1178.526508,895.4299554,807.3185132,815.7837473
5/11/2019 4:00:00 AM,847.0694029,1175.582231,1182.191414,881.6015705,834.1329394,817.8554548
5/11/2019 5:00:00 AM,873.6628917,1146.236977,1188.718066,859.982039,854.3186816,823.29977
5/11/2019 10:00:00 PM,982.0180351,1196.772567,1328.999333,894.9088368,766.266818,864.2816368
5/11/2019 11:00:00 PM,906.9917097,1185.264052,1281.071478,890.3814348,748.1819521,840.4200898
5/12/2019 12:00:00 AM,857.0420209,1140.343174,1253.324083,906.7308539,740.7978974,819.9309816
5/12/2019 1:00:00 AM,827.7263011,1139.004582,1224.273108,917.116095,737.239489,812.2095258
5/12/2019 2:00:00 AM,815.8253268,1154.078061,1212.818646,914.31162,730.9132679,808.4250431
5/12/2019 3:00:00 AM,811.9443755,1163.078658,1187.020293,912.420066,727.6931551,808.3475022
5/12/2019 4:00:00 AM,825.4552735,1166.681763,1195.788664,904.4231509,722.0634425,810.1932326
5/12/2019 5:00:00 AM,842.2393711,1167.755961,1193.666767,896.6212485,720.2461042,812.8165985
5/12/2019 10:00:00 PM,977.8709807,1215.745897,1305.888662,966.6985091,783.8243144,844.9575733
5/12/2019 11:00:00 PM,893.4342278,1195.518139,1226.147204,954.8489563,761.1489177,823.1352791
5/13/2019 12:00:00 AM,845.2943978,1183.157096,1193.701034,953.4346528,753.3943237,811.3274523
5/13/2019 1:00:00 AM,820.4588862,1172.079992,1183.075232,966.2418446,759.1952648,811.4616925
5/13/2019 2:00:00 AM,817.3373416,1168.307979,1179.79868,959.4999667,764.9573287,806.8125954
5/13/2019 3:00:00 AM,831.8150328,1173.084388,1189.898515,951.1033047,769.898868,812.8378355
5/13/2019 4:00:00 AM,902.8225437,1164.650347,1230.918067,941.7922251,764.0325599,829.5360613
5/13/2019 5:00:00 AM,1032.095185,1192.765343,1332.816089,950.6603736,762.0269385,857.8342889
5/13/2019 10:00:00 PM,996.6286409,1180.957934,1331.51426,998.0180513,777.2638834,874.3379604
5/13/2019 11:00:00 PM,918.6221551,1180.761274,1266.967222,919.3700367,768.3938176,848.6366591
5/14/2019 12:00:00 AM,871.2711082,1175.573089,1213.453981,895.2241437,764.4227779,838.7617448
5/14/2019 1:00:00 AM,850.2718017,1166.170943,1204.428223,902.1395605,758.0687818,831.5918221
5/14/2019 2:00:00 AM,842.6067081,1171.256045,1202.760199,890.8053367,758.8822965,829.8793558
5/14/2019 3:00:00 AM,856.8097344,1173.540037,1204.831373,889.2067634,759.895952,830.1532287
5/14/2019 4:00:00 AM,926.4175537,1150.319884,1240.263627,869.439965,762.7573641,827.9139583
5/14/2019 5:00:00 AM,1068.252343,1171.275769,1322.785829,864.658865,761.6944416,852.9954939
5/14/2019 10:00:00 PM,993.5284903,1164.409834,1325.253285,908.3445572,727.8111337,853.7297865
5/14/2019 11:00:00 PM,916.2758116,1128.035403,1252.148645,893.2561034,728.5853885,825.2986325
5/15/2019 12:00:00 AM,863.067321,1100.449684,1229.394667,886.4563646,728.3557849,808.5655471
5/15/2019 1:00:00 AM,847.9624663,1097.721981,1215.432559,892.7293012,733.9525877,803.4086086
5/15/2019 2:00:00 AM,838.3422286,1093.810211,1207.47142,892.7573082,733.3327024,800.2753145
5/15/2019 3:00:00 AM,849.1801025,1130.92404,1204.181713,907.0656051,729.5347,802.465476
5/15/2019 4:00:00 AM,916.2331876,1135.356207,1237.867109,908.6983978,736.4601769,814.5524728
5/15/2019 5:00:00 AM,1054.092875,1189.427955,1348.220937,911.5102733,747.7023885,838.7833289
5/15/2019 10:00:00 PM,977.7857862,1175.367423,1309.271311,931.3842596,793.9761175,854.0789429
5/15/2019 11:00:00 PM,903.2724825,1148.823921,1238.289478,920.0255635,780.6821632,829.2704055
5/16/2019 12:00:00 AM,860.8705402,1131.988963,1224.558876,909.9862338,774.3217508,817.1314384
5/16/2019 1:00:00 AM,844.0377296,1130.940942,1235.346472,918.3460783,771.2039584,812.3798457
5/16/2019 2:00:00 AM,837.7229882,1136.563424,1226.772973,915.7261322,768.0279374,809.8717645
5/16/2019 3:00:00 AM,859.0203357,1152.276217,1245.917189,930.0174303,767.9272873,810.7695779
5/16/2019 4:00:00 AM,933.3677885,1145.131815,1264.781774,916.9325503,758.7961048,827.8040346
5/16/2019 5:00:00 AM,1066.909952,1177.173793,1357.953339,902.3284398,757.1417953,857.7954253
5/16/2019 10:00:00 PM,992.3590259,1217.471717,1334.5005,851.9624286,819.8634048,861.2589622
5/16/2019 11:00:00 PM,918.9564745,1198.114105,1280.588722,843.870415,821.8054054,829.0946156
5/17/2019 12:00:00 AM,876.1458808,1186.636371,1236.178571,830.202983,815.7773559,811.6568474
5/17/2019 1:00:00 AM,851.9681129,1168.146134,1200.609085,827.649643,791.4413976,810.2462545
5/17/2019 2:00:00 AM,843.8030432,1156.01507,1187.500434,838.7418403,795.1682437,805.7746643
